DEPT,GR,RT,RHO,NPHI
4321.063340000001,70.3493,1.5698,2.1567,0.31
4321.32016,67.4212,1.5533,2.1702,0.3
4321.57696,66.7724,1.5538,2.1865,0.29
4321.833740000001,68.2183,1.5541,2.2041,0.29
4322.0905,70.1697,1.5545,2.2172,0.29
4322.34724,73.0253,1.5364,2.2317,0.28
4322.6039599999995,77.0007,1.5368,2.2437,0.28
4322.86066,78.9827,1.5372,2.2489,0.28
4323.11734,78.1676,1.5374,2.2389,0.29
4323.374,77.3413,1.5375,2.2253,0.31
4323.63064,80.071,1.5556,2.2189,0.32
4323.88726,87.5212,1.5662,2.2196,0.32
4324.14386,95.092,1.5738,2.2216,0.32
4324.40044,99.7297,1.5878,2.2237,0.32
4324.657,102.1659,1.602,2.2317,0.33
4324.9135400000005,103.7349,1.6163,2.2456,0.34
4325.1700599999995,104.194,1.629,2.257,0.35
4325.426560000001,105.2565,1.6267,2.2556,0.35
4325.683040000001,106.8966,1.6194,2.238,0.37
4325.9394999999995,106.9973,1.6121,2.2223,0.38
4326.1959400000005,104.0414,1.5956,2.2141,0.38
4326.45236,101.8736,1.5686,2.2115,0.4
4326.70876,102.1904,1.5419,2.2217,0.43
4326.965140000001,104.4247,1.5158,2.2327,0.46
4327.221500000001,106.3219,1.495,2.2351,0.48
4327.4778400000005,109.2672,1.4874,2.2325,0.46
4327.734160000001,111.8856,1.4938,2.232,0.44
4327.990460000001,115.1377,1.4933,2.2358,0.43
4328.2467400000005,114.1365,1.4927,2.2401,0.45
4328.503,110.9478,1.5029,2.2422,0.46
4328.75924,107.0677,1.5095,2.241,0.46
4329.0154600000005,100.9248,1.5089,2.2315,0.46
4329.27166,98.0556,1.4955,2.2251,0.46
4329.527840000001,98.5726,1.4901,2.2279,0.46
4329.784000000001,103.6358,1.4719,2.2452,0.46
4330.04014,111.1967,1.4713,2.2768,0.45
4330.296260000001,111.7225,1.4891,2.3028,0.43
4330.552360000001,108.4144,1.5235,2.3101,0.4
4330.80844,104.67,1.5587,2.2895,0.37
4331.0644999999995,100.5437,1.601,2.2587,0.34
4331.320540000001,98.5323,1.6323,2.2205,0.32
4331.57656,97.2526,1.6238,2.1847,0.32
4331.83256,95.026,1.6154,2.1708,0.32
4332.088540000001,89.0356,1.5936,2.1686,0.31
4332.3445,77.2199,1.5621,2.1683,0.29
4332.60044,64.6546,1.5313,2.1569,0.27
4332.856360000001,56.2273,1.4899,2.1372,0.25
4333.112260000001,49.435,1.4626,2.1129,0.26
4333.3681400000005,42.6426,1.4253,2.0978,0.27
4333.624,41.0096,1.3792,2.0889,0.27
4333.8798400000005,42.7191,1.3404,2.0843,0.28
4334.135660000001,47.4609,1.3141,2.0811,0.28
4334.39146,54.163,1.2937,2.0866,0.29
4334.647240000001,61.7608,1.2798,2.0993,0.3
4334.903,69.3585,1.2788,2.1018,0.31
4335.15874,76.3077,1.2788,2.0752,0.31
4335.414460000001,80.8726,1.3048,2.0621,0.32
4335.670160000001,83.2502,1.3434,2.0659,0.32
4335.92584,88.8928,1.3587,2.0987,0.31
4336.1815,95.9642,1.4192,2.1401,0.3
4336.437140000001,103.0365,1.4542,2.1816,0.3
4336.692760000001,109.1074,1.5064,2.2121,0.32
4336.94836,113.1961,1.5341,2.2107,0.35
4337.20394,114.1718,1.5789,2.1819,0.38
4337.4595,109.3824,1.6035,2.1416,0.4
4337.71504,101.2126,1.6356,2.1118,0.41
4337.970560000001,96.2499,1.6354,2.1029,0.4
4338.22606,92.4696,1.6547,2.1042,0.39
4338.48154,93.6579,1.6546,2.1102,0.36
4338.737000000001,95.4407,1.6428,2.1131,0.36
4338.992440000001,96.2043,1.6348,2.1117,0.36
4339.24786,97.8463,1.6344,2.1082,0.37
4339.50326,99.2417,1.6146,2.1026,0.37
4339.758640000001,98.6632,1.6061,2.0968,0.36
4340.014,95.038,1.5871,2.0839,0.37
4340.26934,90.7085,1.5565,2.0744,0.38
4340.524660000001,90.2871,1.5375,2.0705,0.38
4340.779960000001,89.7805,1.5189,2.0704,0.37
4341.03524,87.5371,1.5055,2.073,0.36
4341.290500000001,83.5259,1.4998,2.0756,0.36
4341.5457400000005,82.3365,1.4816,2.073,0.35
4341.8009600000005,81.2743,1.4811,2.069,0.33
4342.05616,81.0175,1.4805,2.0632,0.32
4342.311340000001,78.7663,1.48,2.0597,0.34
4342.5665,76.5734,1.4621,2.0585,0.36
4342.82164,71.1214,1.4616,2.0565,0.36
4343.076760000001,63.7028,1.4439,2.0555,0.34
4343.33186,54.8954,1.4434,2.0555,0.33
4343.58694,48.0002,1.4429,2.0621,0.31
4343.842000000001,47.3402,1.4254,2.0826,0.3
4344.097040000001,49.9116,1.4237,2.1416,0.28
4344.35206,54.0235,1.4076,2.2098,0.27
4344.60706,57.8407,1.3889,2.2297,0.27
4344.862040000001,63.7008,1.3772,2.2268,0.29
4345.117,69.5609,1.3731,2.2101,0.34
4345.37194,74.154,1.3879,2.1974,0.38
4345.626860000001,72.7401,1.3885,2.1976,0.39
4345.88176,67.6581,1.3889,2.2047,0.36
4346.13664,61.1719,1.3996,2.2071,0.32
4346.391500000001,53.0099,1.4202,2.208,0.28
4346.64634,44.8479,1.4197,2.2067,0.27
4346.90116,37.8244,1.4256,2.2085,0.26
4347.155960000001,34.7457,1.436,2.2173,0.25
4347.41074,37.68,1.4488,2.2212,0.25
4347.6655,44.4336,1.4513,2.2182,0.26
4347.92024,52.4732,1.4506,2.2016,0.28
4348.174960000001,56.0213,1.4499,2.1841,0.31
